sprinkle,        implemented,console,markdown,html,latex,FlexTable
bg,                         x,      ,        ,   x,    x,        "o(h,i,f)"
bg_pattern,                 x,      ,        ,   x,    x,        "o(h,i,f)"
bg_pattern_by,              x,      ,        ,   x,    x,        "o(h,i,f)"
bold,                       x,     x,       x,   x,    x,        "o(h,i,f)"
border_collapse,            x,      ,        ,   x,    x,        "o(h,b,i,f)"
border,                     x,      ,        ,   x,    x,        "o(h,i,f)"
border_thickness,           x,      ,        ,   x,    x,        "o(h,i,f)"
border_units,               x,      ,        ,   x,    x,       
border_style,               x,      ,        ,   x,    x,        "o(h,i,f)"
border_color,               x,      ,        ,   x,    x,        "o(h,i,f)"
colnames,                   x,     x,       x,   x,    x,        "o(h,i,f)"
fn,                         x,     x,       x,   x,    x,        "o(h,i,f)"
font_color,                 x,      ,        ,   x,    x,        "o(h,i,f)"
font_family,                x,      ,        ,   x,     ,        "o(h,i,f)"
font_size,                  x,      ,        ,   x,    x,        "o(h,i,f)"
font_size_units,            x,      ,        ,   x,    x,      
halign,                     x,      ,        ,   x,    x,        "o(h,b,i,f)"  
height,                     x,      ,        ,   x,    x,        "o(h,b,i,f)"
height_units,               x,      ,        ,   x,    x,       
italic,                     x,     x,       x,   x,    x,        "o(h,i,f)"
longtable,                  x,     x,       x,   x,    x,        "o(h,b,i,f)"
merge,                      x,     x,       x,   x,    x,        "o(h,b,i,f)"
na_string,                  x,     x,       x,   x,    x,        "o(h,i,f)"
padding,                    x,      ,        ,   x,     ,        "o(h,i,f)"
replace,                    x,     x,       x,   x,    x,        "o(h,i,f)"
round,                      x,     x,       x,   x,    x,        "o(h,i,f)"
rotate_degree,              x,      ,        ,   x,    x,       
valign,                     x,      ,        ,   x,    x,        "o(h,i,f)"
width,                      x,      ,        ,   x,    x,        "o(h,b,i,f)"
width_units,                x,      ,        ,   x,    x,        

